id,nombre,codigo_bcra
1,"GALICIA Y BUENOS AIRES S.A.U.",7
2,"NACION ARGENTINA",11
3,"PROVINCIA DE BUENOS AIRES",14
4,ICBC,15
5,"CITIBANK N.A.",16
6,"BBVA ARGENTINA S.A.",17
7,"PROVINCIA DE CORDOBA S.A.",20
8,"SUPERVIELLE S.A.",27
9,"CIUDAD DE BUENOS AIRES",29
10,"PATAGONIA S.A.",34
11,"HIPOTECARIO S.A.",44
12,"SAN JUAN S.A.",45
13,"MUNICIPAL DE ROSARIO",65
14,"SANTANDER RIO S.A.",72
15,"DEL CHUBUT S.A.",83
16,"SANTA CRUZ S.A.",86
17,"PAMPA SOCIEDAD DE ECONOMÍA M",93
18,"CORRIENTES S.A.",94
19,"PROVINCIA DEL NEUQUÉN SA",97
20,"BRUBANK S.A.U.",143
21,"INTERFINANZAS S.A.",147
22,"HSBC BANK ARGENTINA S.A.",150
23,"OPEN BANK ARGENTINA S.A.",158
24,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATIO",165
25,"CREDICOOP COOP LTDO",191
26,"VALORES S.A.",198
27,"ROELA S.A.",247
28,"MARIVA S.A.",254
29,"ITAU ARGENTINA S.A.",259
30,"BANK OF AMERICA, NATIONAL ASSOCIATION",262
31,"BNP PARIBAS",266
32,"PROVINCIA DE TIERRA DEL FUEGO",268
33,"REPUBLICA ORIENTAL DEL URUGUAY",269
34,"SAENZ S.A.",277
35,"MERIDIAN S.A.",281
36,"MACRO S.A.",285
37,"COMAFI SOCIEDAD ANONIMA",299
38,"INVERSION Y COMERCIO EXTERIOR S",300
39,"PIANO S.A.",301
40,"JULIO SOCIEDAD ANONIMA",305
41,"RIOJA SOCIEDAD ANONIMA UNIPERSONAL",309
42,"DEL SOL S.A.",310
43,"NUEVO BANCO DEL CHACO S. A.",311
44,"VOII S.A.",312
45,"FORMOSA S.A.",315
46,"CMF S.A.",319
47,"SANTIAGO DEL ESTERO S.A.",321
48,"INDUSTRIAL S.A.",322
49,"NUEVO BANCO DE SANTA FE SA",330
50,"CETELEM ARGENTINA S.A.",331
51,"SERVICIOS FINANCIEROS S.A.",332
52,"BRADESCO ARGENTINA S.A.U.",336
53,"SERVICIOS Y TRANSACCIONES S.A.",338
54,"RCI BANQUE S.A.",339
55,"BACS BANCO DE CREDITO Y SECURITIZACION S",340
56,"MASVENTAS S.A.",341
57,"WILOBANK S.A.",384
58,"NUEVO BANCO DE ENTRE RÍOS S.A.",386
59,"COLUMBIA S.A.",389
60,"BICA S.A.",426
61,"COINAG S.A.",431
62,"COMERCIO S.A.",432
63,"SUCREDITO REGIONAL S.A.U.",435
64,"DINO S.A.",448
65,"BANK OF CHINA LIMITED SUCURSAL BUENOS AI",515
66,"FORD CREDIT COMPAÑIA FINANCIERA S.A.",44059
67,"COMPAÑIA FINANCIERA ARGENTINA S.A.",44077
68,"VOLKSWAGEN FINANCIAL SERVICES COMPAÑIA F",44088
69,"CORDIAL COMPAÑÍA FINANCIERA S.A.",44090
70,"FCA COMPAÑIA FINANCIERA S.A.",44092
71,"GPAT COMPAÑIA FINANCIERA S.A.U.",44093
72,"MERCEDES-BENZ COMPAÑÍA FINANCIERA ARGENT",44094
73,"ROMBO COMPAÑÍA FINANCIERA S.A.",44095
74,"JOHN DEERE CREDIT COMPAÑÍA FINANCIERA S.",44096
75,"PSA FINANCE ARGENTINA COMPAÑÍA FINANCIER",44098
76,"TOYOTA COMPAÑÍA FINANCIERA DE ARGENTINA",44099
77,"NARANJA DIGITAL COMPAÑÍA FINANCIERA S.A.",45030
78,"MONTEMAR COMPAÑIA FINANCIERA S.A.",45056
79,"TRANSATLANTICA COMPAÑIA FINANCIERA S.A.",45072
80,"CREDITO REGIONAL COMPAÑIA FINANCIERA S.A",65201
81,"MERCADO PAGO",65202
