CODIGO;COD_PROV;COD_FAB;TIPO;MARCA;PRESENT;DETALLE;ID_PROV;PROVE;STOCK;MINIMO;PTOPEDIR;STKCONS;C_ADQ_ANT;LISTA_ANT;PCIO_ANT;CTO_ADQ;FEC_ADQ;CTO_REP;FEC_ACT;LISTA;MG_RUBRO;MARGEN;PRECIO;ALIC_IVA;PCIOT;COD_ANT;VTO;FACTURA;CREDEN;MONEDA;COTIZ;DTOMAX;DTOEFE;DTOTAR;DTOTARC;STKSUC1;STKSUC2;STKSUC3;ID_MARCA;ID_RUBRO;ID_FLIA;ID_SFLIA;SUBPROD;CODIVA;STKINI;ID_MI;STKINI1
69;;;;MAGTECH;;CARABINA ORBEA C.22LR M.7022 SEMI KEVLAR PAVON;10;ABBA LUIS RODOLFO;0;1;1;0;0;0;0;0;2023-11-21;0;2023-11-21;0;30;0;0;0.21;0;A69;;0;1;PES;1;6;0;0;0;0;0;0;135;2;13;73;1;5;0;0;0
131;;;;ANGEL ROSSI;;CARG AR BERSA C.9 28TIROS;10321;ROSSI ANGEL  (CARGADORES);1;1;1;0;0;0;0;69000;2024-12-04;69000;2026-01-14;64000;30;126.3744;156198.35;0.21;189000;A131;;0;0;PES;1;20;0;0;0;0;0;0;12;1;14;21;0;5;8;0;0
172;;;;ANGEL ROSSI;;CARG AR BATAAN C.22 M.54 10T;10321;ROSSI ANGEL  (CARGADORES);0;1;1;0;16600;0;27685.95;15800;2024-07-04;15800;2026-01-14;15800;30;276.6084;59504.13;0.21;72000;A172;;0;0;PES;1;20;0;0;0;1;0;0;12;1;14;22;0;5;2;0;0
174;;;;ANGEL ROSSI;;CARG AR BERSA C.22 M.223/224//23;10321;ROSSI ANGEL  (CARGADORES);0;1;1;0;19600;0;32644.63;30000;2024-07-04;30000;2026-01-14;18700;30;98.3471;59504.13;0.21;72000;A174;;0;0;PES;1;20;0;0;0;0;0;0;12;1;14;21;0;5;0;0;0
175;;;;ANGEL ROSSI;;CARG AR BERSA C.22 M.62/64/223/224/226 10T SIMPLE ACCION;10321;ROSSI ANGEL  (CARGADORES);1;1;1;0;19600;0;32644.63;19600;2024-07-04;19600;2024-07-04;18700;30;203.5925;59504.13;0.21;72000;A175;;0;0;PES;1;20;0;0;0;1;0;0;12;1;14;21;0;5;4;0;0
183;;;;ANGEL ROSSI;;CARG AR BROWNING C.9 M.HP 15 TIROS;10321;ROSSI ANGEL  (CARGADORES);1;1;1;0;19500;0;32148.76;975;2024-07-04;19500;2024-07-04;19500;30;192.4348;57024.79;0.21;69000;A183;;0;0;PES;1;20;0;0;0;0;0;0;12;1;14;21;0;5;2;0;0
201;;;;ANGEL ROSSI;;CARG AR SAURIO TUBULAR CARABINA;10321;ROSSI ANGEL  (CARGADORES);0;1;1;0;19600;0;32644.63;37000;2024-07-04;37000;2026-01-14;18700;30;98.7938;73553.72;0.21;89000;A201;;0;0;PES;1;20;0;0;0;0;0;0;12;1;14;22;0;5;0;0;0
210;;;;ANGEL ROSSI;;CARG AR MAHELY C.22 10 TIROS;10321;ROSSI ANGEL  (CARGADORES);0;1;1;0;16600;0;27685.95;30000;2024-07-04;30000;2026-01-14;15800;30;98.3471;59504.13;0.21;72000;A210;;0;0;PES;1;20;0;0;0;0;0;0;12;1;14;22;0;5;1;0;0
644;;;;MISSION;;LIBRE CUCHILLO MISSION M.1306 CARBON;0;;0;1;1;0;0;0;0;0;2023-11-21;0;2023-11-21;0;30;0;0;0.21;0;A644;;0;0;PES;1;20;0;0;0;0;0;0;146;6;20;69;0;5;0;0;0
646;;;;MISSION;;LIBRE CUCHILLO MISSION M.1306 N.16 ASTA GRANDE 25CM;0;;0;1;1;0;0;0;0;0;2023-11-21;0;2023-11-21;0;30;0;0;0.21;0;A646;;0;0;PES;1;20;0;0;0;0;0;0;146;6;20;69;0;5;0;0;0
5186;;;;M;;CODIGO DISPONIBLE;10;ABBA LUIS RODOLFO;0;1;1;0;0;0;0;0;2023-11-21;2752;2023-11-21;0;30;75;4816;0.21;5827.36;A5186;;0;0;PES;1;0;0;0;0;0;0;0;132;12;23;69;0;5;0;0;0
773;PR00108;;;HDAVIS;;ACEITE HDAVID COMPUESTO SILICONADO PARA ORINGS 30ML GOTERO (PR00108);10304;LENKIEVICZ MATIAS DAVID;0;1;1;0;3738.59;0;7851.24;4973;2025-07-10;4973;2025-12-29;3738.6;30;99.4241;9917.36;0.21;12000;A773;;0;0;PES;1;20;0;0;0;0;0;0;250;1;31;5;0;5;2;0;0
1369;;;;MISSION;;JGO MISSION M.1854-2 N.16 ASADOR ASTA Y MAD EMBUT 1 BOT;0;;0;1;1;0;0;0;0;0;2023-11-21;0;2023-11-21;0;30;0;0;0.21;0;A1369;;0;0;PES;1;20;0;0;0;0;0;0;146;6;30;69;0;5;0;0;0
2277;;;;MISSION;;PORTA PLATO MISSION M.668-1 VAQUETA JGO SIMPLE C/VASO;0;;0;1;1;0;0;0;0;0;2023-11-21;0;2023-11-21;0;30;0;0;0.21;0;A2277;;0;0;PES;1;20;0;0;0;0;0;0;146;6;30;69;0;5;0;0;0
