codigo;id_var;detalle;porciento
1;1;B1F;1
2;1;B1FR;0,85
3;1;B2F;0,92
4;1;B2FR;0,77
5;1;B3F;0,78
6;1;B3FR;0,63
7;1;B3K;0,33
8;1;C1F;0,96
9;1;C1L;0,83
10;1;C2F;0,86
11;1;C2L;0,73
12;1;C3F;0,7
13;1;C3K;0,37
14;1;C3L;0,57
15;1;NB;0,25
16;1;NG;0,1
17;1;NX;0,3
18;1;T1F;0,9
19;1;T1FR;0,8
20;1;T2F;0,8
21;1;T2FR;0,7
22;1;T3K;0,29
23;1;X1F;0,89
24;1;X1L;0,75
25;1;X2F;0,79
26;1;X2L;0,65
27;1;X3K;0,41
28;2;X1L;0,71
29;2;X2L;0,61
30;2;X3L;0,48
31;2;X4L;0,26
32;2;X1F;0,83
33;2;X2F;0,74
34;2;X3F;0,6
35;2;X4F;0,39
36;2;X2K;0,36
37;2;X3K;0,27
38;2;N5K;0,17
39;2;NVX;0,2
40;2;C1L;0,82
41;2;C2L;0,72
42;2;C3L;0,59
43;2;C4L;0,37
44;2;C1F;0,94
45;2;C2F;0,85
46;2;C3F;0,71
47;2;C4F;0,5
48;2;C2K;0,48
49;2;C3K;0,39
50;2;N5C;0,17
51;2;NVC;0,2
52;2;B1L;0,88
53;2;B2L;0,78
54;2;B3L;0,64
55;2;B4L;0,43
56;2;B1F;1
57;2;B2F;0,91
58;2;B3F;0,75
59;2;B4F;0,48
60;2;B2KL;0,48
61;2;B3KL;0,39
62;2;B2KF;0,53
63;2;B3KF;0,44
64;2;N5B;0,15
65;2;NVB;0,2
66;2;T1L;0,78
67;2;T2L;0,68
68;2;T1F;0,9
69;2;T2F;0,81
70;2;T2KL;0,35
71;2;T2KF;0,4
72;2;N5T;0,15
73;2;H1F;1,05
74;2;H2F;0,95
75;2;H3F;0,8
